iter	Passed	Remaining
0	2	255
1	5	280
2	8	273
3	11	273
4	14	270
5	17	279
6	20	272
7	23	266
8	26	264
9	28	258
10	31	251
11	33	248
12	36	246
13	39	245
14	42	240
15	44	236
16	47	231
17	49	227
18	52	223
19	54	219
20	57	216
21	59	212
22	62	208
23	64	205
24	67	203
25	70	200
26	72	196
27	75	192
28	77	189
29	79	186
30	82	183
31	84	180
32	87	177
33	89	174
34	92	170
35	94	168
36	97	165
37	100	163
38	102	160
39	104	157
40	107	154
41	108	150
42	111	147
43	113	144
44	116	141
45	118	139
46	120	136
47	123	134
48	126	132
49	129	129
50	132	127
51	134	124
52	138	122
53	140	119
54	142	116
55	146	115
56	149	112
57	153	111
58	156	108
59	159	106
60	161	103
61	163	100
62	166	97
63	169	95
64	172	92
65	174	89
66	176	86
67	179	84
68	181	81
69	184	79
70	187	76
71	189	73
72	192	71
73	194	68
74	197	65
75	199	63
76	202	60
77	205	57
78	208	55
79	210	52
80	213	50
81	216	47
82	218	44
83	220	42
84	223	39
85	225	36
86	228	34
87	230	31
88	232	28
89	235	26
90	237	23
91	239	20
92	242	18
93	245	15
94	248	13
95	250	10
96	253	7
97	256	5
98	259	2
99	261	0
