iter	Passed	Remaining
0	175	175097
1	177	88357
2	181	60292
3	182	45472
4	184	36655
5	185	30742
6	186	26486
7	187	23300
8	189	20835
9	190	18897
10	192	17314
11	194	15979
12	195	14838
13	196	13853
14	197	13000
15	199	12242
16	200	11583
17	201	10997
18	202	10477
19	204	10002
20	205	9591
21	207	9220
22	208	8866
23	209	8534
24	211	8229
25	212	7953
26	213	7694
27	214	7453
28	216	7234
29	217	7027
30	218	6834
31	220	6660
32	221	6492
33	222	6328
34	223	6175
35	225	6034
36	226	5898
37	227	5770
38	229	5645
39	230	5530
40	232	5426
41	233	5332
42	236	5254
43	237	5159
44	238	5066
45	240	4979
46	241	4896
47	242	4816
48	244	4741
49	245	4666
50	247	4600
51	249	4548
52	250	4483
53	252	4420
54	253	4360
55	255	4299
56	256	4242
57	257	4186
58	258	4130
59	260	4076
60	261	4032
61	263	3993
62	265	3948
63	266	3901
64	268	3856
65	269	3811
66	270	3769
67	271	3727
68	273	3685
69	274	3652
70	276	3613
71	277	3578
72	279	3553
73	281	3520
74	282	3485
75	283	3452
76	285	3419
77	286	3387
78	287	3355
79	289	3326
80	290	3298
81	292	3274
82	293	3240
83	294	3212
84	296	3186
85	297	3159
86	298	3136
87	300	3115
88	302	3094
89	303	3070
90	304	3045
91	306	3027
92	308	3004
93	309	2982
94	310	2958
95	311	2936
96	313	2916
97	314	2895
98	315	2873
99	317	2854
100	318	2833
101	319	2815
102	322	2805
103	323	2786
104	324	2768
105	326	2750
106	327	2732
107	328	2715
108	330	2700
109	331	2683
110	332	2666
111	334	2652
112	336	2639
113	337	2625
114	339	2610
115	340	2595
116	341	2579
117	343	2565
118	344	2551
119	345	2536
120	347	2522
121	348	2506
122	350	2495
123	352	2487
124	353	2474
125	354	2460
126	355	2445
127	357	2434
128	358	2422
129	360	2411
130	361	2399
131	363	2387
132	365	2379
133	367	2372
134	368	2361
135	369	2349
136	371	2340
137	372	2329
138	374	2317
139	375	2305
140	376	2294
141	377	2280
142	378	2269
143	380	2262
144	381	2251
145	383	2241
146	384	2231
147	385	2221
148	387	2211
149	388	2201
150	389	2191
151	391	2181
152	392	2171
153	393	2162
154	395	2155
155	396	2146
156	398	2137
157	399	2129
158	401	2121
159	402	2111
160	403	2100
161	404	2092
162	405	2084
163	407	2076
164	408	2067
165	410	2064
166	412	2055
167	413	2048
168	415	2041
169	416	2033
170	417	2025
171	419	2018
172	420	2012
173	422	2005
174	423	1998
175	425	1994
176	427	1987
177	428	1980
178	430	1973
179	431	1967
180	433	1961
181	435	1955
182	436	1948
183	438	1943
184	439	1938
185	441	1931
186	442	1925
187	444	1919
188	445	1913
189	447	1907
190	448	1900
191	450	1894
192	451	1887
193	453	1882
194	455	1882
195	457	1876
196	458	1870
197	460	1864
198	461	1859
199	463	1853
200	464	1847
201	466	1842
202	469	1841
203	471	1837
204	472	1832
205	473	1826
206	475	1820
207	476	1814
208	477	1808
209	479	1802
210	480	1797
211	481	1791
212	485	1792
213	486	1787
214	488	1782
215	489	1777
216	491	1771
217	492	1766
218	493	1761
219	495	1755
220	496	1751
221	498	1746
222	500	1742
223	501	1737
224	502	1732
225	504	1727
226	505	1722
227	507	1717
228	508	1712
229	509	1707
230	511	1702
231	513	1699
232	515	1696
233	516	1691
234	518	1686
235	520	1683
236	521	1679
237	523	1674
238	524	1669
239	525	1664
240	528	1664
241	530	1661
242	531	1657
243	533	1652
244	534	1648
245	536	1643
246	538	1640
247	539	1635
248	540	1631
249	543	1629
250	544	1625
251	546	1621
252	547	1616
253	549	1612
254	550	1608
255	552	1605
256	553	1601
257	555	1598
258	558	1598
259	560	1594
260	561	1590
261	563	1586
262	564	1582
263	566	1578
264	567	1574
265	568	1569
266	570	1565
267	572	1564
268	574	1560
269	575	1556
270	577	1553
271	579	1549
272	580	1545
273	581	1541
274	583	1537
275	584	1533
276	586	1531
277	588	1528
278	590	1524
279	591	1521
280	594	1520
281	596	1519
282	598	1517
283	604	1522
